Game Frequency,,,,,,,
,Tu,W,Th,F,Sa,Su,M
W1,0,0,0,3,4,3,0
W2,0,0,0,1,4,4,1
W3,0,0,0,1,4,4,1
W4,0,0,0,1,4,4,1
W5,2,2,2,1,4,4,1
W6,2,2,2,1,3,4,2
W7,2,2,2,1,2,3,4
W8,0,0,0,1,4,4,1
W9,0,0,0,1,4,4,1
W10,0,0,0,1,4,4,1
W11,0,0,0,1,4,4,1
W12,2,2,2,1,3,4,2
W13,2,2,2,1,3,4,2
W14,2,2,2,0,3,3,4
W15,0,0,0,1,4,4,1
W16,0,0,0,1,4,4,1
W17,0,0,0,1,4,4,1
W18,0,0,0,1,4,4,1
W19,0,0,0,1,4,4,1
W20,0,0,0,1,4,4,1
W21,0,0,0,1,4,4,1
W22,0,0,0,1,4,4,1
W23,0,0,0,1,4,4,1
W24,0,0,0,1,4,4,1
W25,0,0,0,1,4,4,1
W26,0,0,0,1,4,4,1
W27,0,0,0,1,4,4,1
W28,0,0,0,1,4,4,1
W29,0,0,0,1,4,4,1
W30,0,0,0,1,4,4,1
W31,0,0,0,1,4,4,1
W32,0,0,0,1,4,4,1
W33,0,0,0,1,4,4,1
W34,0,0,0,1,4,4,1
W35,0,0,0,1,4,4,1
W36,0,0,0,1,4,4,1
W37,0,0,0,1,4,4,1
W38,0,0,0,1,3,4,2